Local filename,Folder,Title,Creator,Platform,Source URL,License,License URL,Commercial use allowed,Attribution required,Modifications allowed,Recognizable people,Visible trademarks/logos,Property concerns,Date license checked,Recommended page,Recommended section,Selection rationale,Risk level
premium-glass-cleaning-01.jpg,01-LVMR-PREMIUM/glass-cleaning,Photo of a Man Cleaning Windows,DinaArt,Pexels,https://www.pexels.com/photo/photo-of-a-man-cleaning-windows-10092356/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,NO,NO,UNKNOWN,2026-08-27,LVMR Premium,Glass Cleaning,High-rise glass cleaning with professional equipment; strong hero/split visual.,LOW
premium-glass-cleaning-02.jpg,01-LVMR-PREMIUM/glass-cleaning,Two People Cleaning Glass Windows of a Building,Sergey Shelagin,Pexels,https://www.pexels.com/photo/two-people-cleaning-glass-windows-of-a-building-8901934/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,YES,NO,UNKNOWN,2026-08-27,LVMR Premium,Glass Cleaning,Compatible paired facade-cleaning image; use with architectural crop.,LOW
premium-office-lobby-01.jpg,01-LVMR-PREMIUM/offices,Red Chairs in Modern Office Lobby,FROET,Pexels,https://www.pexels.com/photo/red-chairs-in-modern-office-lobby-5869284/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,NO,NO,YES,2026-08-27,LVMR Premium,Premium Office,Bright polished lobby communicating cleanliness without a generic cleaning ad.,LOW
premium-office-lobby-02.jpg,01-LVMR-PREMIUM/offices,Interior of a Modern Office Lobby,Anish Sharma,Pexels,https://www.pexels.com/photo/interior-of-a-modern-office-lobby-22725910/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,NO,NO,UNKNOWN,2026-08-27,LVMR Premium,Premium Office,Sunlit contemporary architecture with useful negative space.,LOW
premium-detail-gloved-cleaning-01.jpg,01-LVMR-PREMIUM/detail-cleaning,Close-up Photo of Person Cleaning the Table,Matilda Wormwood,Pexels,https://www.pexels.com/photo/close-up-photo-of-person-cleaning-the-table-4099467/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,YES,NO,UNKNOWN,2026-08-27,LVMR Premium,Detail Cleaning,Tactile glove/surface detail; approve only if pandemic-era styling fits.,MEDIUM
group-technical-ppe-01.jpg,02-LVMR-GROUP/technical,Person in White Coverall Cleaning the Black Table,Matilda Wormwood,Pexels,https://www.pexels.com/photo/4098322/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,YES,NO,UNKNOWN,2026-08-27,LVMR Group,Technical Intervention,Professional PPE intervention without frightening context.,MEDIUM
group-technical-disinfection-02.jpg,02-LVMR-GROUP/technical,Man Cleaning a Bed with Ultra Violet Light Sanitation,شركة تعقيم بالرياض,Pexels,https://www.pexels.com/photo/a-man-cleaning-a-bed-with-ultra-violet-light-sanitation-14675104/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,YES,NO,UNKNOWN,2026-08-27,LVMR Group,Equipment / Technical,"Specialized UV sanitation equipment; creator profile indicates a service company, so use with caution.",MEDIUM
group-reporting-documentation-01.jpg,02-LVMR-GROUP/reporting,Man Writing on Document in Professional Office,Cedric Fauntleroy,Pexels,https://www.pexels.com/photo/man-dentist-in-his-office-writing-on-document-6627823/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,YES,NO,UNKNOWN,2026-08-27,LVMR Group,Reporting / Accountability,Documentation concept; crop clinical cues before use.,MEDIUM
premium-team-cleaning-01.jpg,01-LVMR-PREMIUM/team,Group of People Cleaning a Dining room,Tima Miroshnichenko,Pexels,https://www.pexels.com/photo/group-of-people-cleaning-a-dining-room-6197108/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,YES,NO,UNKNOWN,2026-08-27,LVMR Premium,Professional Cleaning Team,Wide team working in a bright modern interior; strong team section or split card.,LOW
premium-team-cleaning-02.jpg,01-LVMR-PREMIUM/team,Cleaners in Orange Uniform,Tima Miroshnichenko,Pexels,https://www.pexels.com/photo/cleaners-in-orange-uniform-6195125/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,YES,NO,UNKNOWN,2026-08-27,LVMR Premium,Professional Cleaning Team,Team with organized equipment in a modern living room; card/team section.,LOW
premium-equipment-floor-cleaning-01.jpg,01-LVMR-PREMIUM/equipment,Cleaners Cleaning the Tiled Floor,Tima Miroshnichenko,Pexels,https://www.pexels.com/photo/cleaners-cleaning-the-tiled-floor-6195278/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,YES,NO,UNKNOWN,2026-08-27,LVMR Premium,Professional Equipment,Shows active floor-care equipment in a bright residential environment.,LOW
group-methodology-team-01.jpg,02-LVMR-GROUP/methodology,Group of Cleaners Cleaning a Dining room,Tima Miroshnichenko,Pexels,https://www.pexels.com/photo/group-of-people-cleaning-a-dining-room-6197108/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,YES,NO,UNKNOWN,2026-08-27,LVMR Group,Team / Methodology,Clear coordination and task division; useful as methodology support image.,LOW
group-reporting-checklist-02.jpg,02-LVMR-GROUP/reporting,Checklist on a Clipboard,RDNE Stock project,Pexels,https://www.pexels.com/photo/checklist-on-a-clipboard-8293635/,Pexels License,https://www.pexels.com/license/,YES,NO,YES,YES,NO,UNKNOWN,2026-08-27,LVMR Group,Reporting / Accountability,Close-up checklist supports inspection and accountability; crop generic real-estate wording if needed.,MEDIUM
